Title,Traffic volume,Link,Type,Date,Geo Location
Biden,500K+,https://trends.google.com//trends/explore?q=Biden&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
USA Basketball,200K+,https://trends.google.com//trends/explore?q=USA+Basketball&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Peter Navarro,200K+,https://trends.google.com//trends/explore?q=Peter+Navarro&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Kai Trump,200K+,https://trends.google.com//trends/explore?q=Kai+Trump&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Emmy nominations 2024,100K+,https://trends.google.com//trends/explore?q=Emmy+nominations+2024&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Adam Schiff,100K+,https://trends.google.com//trends/explore?q=Adam+Schiff&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
MLS,50K+,https://trends.google.com//trends/explore?q=MLS&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Fever vs Wings,50K+,https://trends.google.com//trends/explore?q=Fever+vs+Wings&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Glen Powell,50K+,https://trends.google.com//trends/explore?q=Glen+Powell&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Sue Mi Terry South Korea,20K+,https://trends.google.com//trends/explore?q=Sue+Mi+Terry+South+Korea&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Deadpool Xbox controller,20K+,https://trends.google.com//trends/explore?q=Deadpool+Xbox+controller&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Matt Gaetz,20K+,https://trends.google.com//trends/explore?q=Matt+Gaetz&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Stock market,20K+,https://trends.google.com//trends/explore?q=Stock+market&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Simone Biles,20K+,https://trends.google.com//trends/explore?q=Simone+Biles&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
National Hot Dog Day,20K+,https://trends.google.com//trends/explore?q=National+Hot+Dog+Day&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Kate Martin injury,20K+,https://trends.google.com//trends/explore?q=Kate+Martin+injury&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Detroit Lions,20K+,https://trends.google.com//trends/explore?q=Detroit+Lions&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Inter Miami,20K+,https://trends.google.com//trends/explore?q=Inter+Miami&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
Terrell Davis United Airlines,20K+,https://trends.google.com//trends/explore?q=Terrell+Davis+United+Airlines&date=now+7-d&geo=US,Trend_topic,"Wednesday, 17 July 2024",IN
"ROME, N.Y tornado",20K+,"https://trends.google.com//trends/explore?q=ROME,+N.Y+tornado&date=now+7-d&geo=US",Trend_topic,"Wednesday, 17 July 2024",IN
