Title,Traffic volume,Link,Type,Date,Geo Location
Presidential debate,5M+,https://trends.google.com//trends/explore?q=Presidential+debate&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
Gavin Newsom,200K+,https://trends.google.com//trends/explore?q=Gavin+Newsom&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
LeBron James,200K+,https://trends.google.com//trends/explore?q=LeBron+James&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
Kyle Filipowski,100K+,https://trends.google.com//trends/explore?q=Kyle+Filipowski&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
Robert F. Kennedy Jr,100K+,https://trends.google.com//trends/explore?q=Robert+F.+Kennedy+Jr&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
USMNT,50K+,https://trends.google.com//trends/explore?q=USMNT&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
Quiet Place: Day One,50K+,https://trends.google.com//trends/explore?q=Quiet+Place:+Day+One&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
NATO,50K+,https://trends.google.com//trends/explore?q=NATO&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
Jill Biden,50K+,https://trends.google.com//trends/explore?q=Jill+Biden&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
Trump vp,50K+,https://trends.google.com//trends/explore?q=Trump+vp&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
Supreme Court,50K+,https://trends.google.com//trends/explore?q=Supreme+Court&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
Kamala Harris,50K+,https://trends.google.com//trends/explore?q=Kamala+Harris&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
Bryce Harper,50K+,https://trends.google.com//trends/explore?q=Bryce+Harper&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
Kinky Friedman,50K+,https://trends.google.com//trends/explore?q=Kinky+Friedman&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
NBC news,50K+,https://trends.google.com//trends/explore?q=NBC+news&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
My Lady Jane,20K+,https://trends.google.com//trends/explore?q=My+Lady+Jane&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
USA,20K+,https://trends.google.com//trends/explore?q=USA&date=today+1-m&geo=US,Trend_topic,"Thursday, June 27, 2024",US
